frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
1,2026-03-29 22:25:45.535,person-CRITICAL,CRITICAL,SAFE,True,False,757.78,1.41
2,2026-03-29 22:25:45.581,person-CRITICAL,CRITICAL,SAFE,True,False,73.49,23.53
3,2026-03-29 22:25:45.615,person-CRITICAL,CRITICAL,SAFE,True,False,58.29,31.2
4,2026-03-29 22:25:45.648,person-CRITICAL,CRITICAL,SAFE,True,False,58.12,30.94
5,2026-03-29 22:25:45.681,person-CRITICAL,CRITICAL,SAFE,True,False,59.67,31.8
6,2026-03-29 22:25:45.714,person-CRITICAL,CRITICAL,SAFE,True,False,77.72,31.32
7,2026-03-29 22:25:45.747,person-CRITICAL,CRITICAL,SAFE,True,False,78.5,31.48
8,2026-03-29 22:25:45.780,person-CRITICAL,CRITICAL,SAFE,True,False,53.65,31.56
9,2026-03-29 22:25:45.838,person-CRITICAL,CRITICAL,SAFE,True,False,85.71,17.69
10,2026-03-29 22:25:45.868,person-CRITICAL,CRITICAL,SAFE,True,False,70.26,34.29
11,2026-03-29 22:25:45.887,person-CRITICAL,CRITICAL,SAFE,True,False,60.29,57.46
12,2026-03-29 22:25:45.905,person-CRITICAL,CRITICAL,SAFE,True,False,40.41,57.2
13,2026-03-29 22:25:45.925,person-CRITICAL,CRITICAL,SAFE,True,False,39.34,54.8
14,2026-03-29 22:25:45.948,person-CRITICAL,CRITICAL,SAFE,True,False,61.03,44.45
15,2026-03-29 22:25:45.971,person-CRITICAL,CRITICAL,SAFE,True,False,41.45,47.5
16,2026-03-29 22:25:45.992,person-CRITICAL,CRITICAL,SAFE,True,False,57.5,50.85
17,2026-03-29 22:25:46.013,person-CRITICAL,CRITICAL,SAFE,True,False,45.44,49.71
18,2026-03-29 22:25:46.033,person-CRITICAL,CRITICAL,SAFE,True,False,40.74,53.38
19,2026-03-29 22:25:46.054,person-CRITICAL,CRITICAL,SAFE,True,False,55.61,50.03
20,2026-03-29 22:25:46.076,person-CRITICAL,CRITICAL,SAFE,True,False,54.0,48.41
21,2026-03-29 22:25:46.098,person-CRITICAL,CRITICAL,SAFE,True,False,68.94,47.89
22,2026-03-29 22:25:46.119,person-CRITICAL,CRITICAL,SAFE,True,False,45.56,49.68
23,2026-03-29 22:25:46.143,person-CRITICAL,CRITICAL,SAFE,True,False,69.14,43.49
24,2026-03-29 22:25:46.168,person-CRITICAL,CRITICAL,SAFE,True,False,68.86,42.61
25,2026-03-29 22:25:46.193,person-CRITICAL,CRITICAL,SAFE,True,False,54.37,41.38
26,2026-03-29 22:25:46.221,person-CRITICAL,CRITICAL,SAFE,True,False,50.1,36.52
27,2026-03-29 22:25:46.250,person-CRITICAL,CRITICAL,SAFE,True,False,59.71,35.66
28,2026-03-29 22:25:46.282,person-CRITICAL,CRITICAL,SAFE,True,False,65.41,33.21
29,2026-03-29 22:25:46.315,person-CRITICAL,CRITICAL,SAFE,True,False,58.09,30.86
30,2026-03-29 22:25:46.351,person-CRITICAL,CRITICAL,SAFE,True,False,67.23,29.31
31,2026-03-29 22:25:46.384,person-CRITICAL,CRITICAL,SAFE,True,False,81.35,31.58
32,2026-03-29 22:25:46.417,person-CRITICAL,CRITICAL,SAFE,True,False,56.26,31.24
33,2026-03-29 22:25:46.472,person-CRITICAL,CRITICAL,SAFE,True,False,95.83,18.57
34,2026-03-29 22:25:46.505,person-CRITICAL,CRITICAL,SAFE,True,False,73.82,30.74
35,2026-03-29 22:25:46.539,person-CRITICAL,CRITICAL,SAFE,True,False,54.1,30.92
36,2026-03-29 22:25:46.572,person-CRITICAL,CRITICAL,SAFE,True,False,73.53,31.19
37,2026-03-29 22:25:46.603,person-CRITICAL,CRITICAL,SAFE,True,False,66.22,33.86
38,2026-03-29 22:25:46.631,person-CRITICAL,CRITICAL,SAFE,True,False,49.56,36.44
39,2026-03-29 22:25:46.661,person-CRITICAL,CRITICAL,SAFE,True,False,66.41,34.34
40,2026-03-29 22:25:46.695,person-CRITICAL,CRITICAL,SAFE,True,False,75.76,30.22
41,2026-03-29 22:25:46.727,person-CRITICAL,CRITICAL,SAFE,True,False,64.4,32.84
42,2026-03-29 22:25:46.759,person-CRITICAL,CRITICAL,SAFE,True,False,67.94,32.28
43,2026-03-29 22:25:46.791,person-CRITICAL,CRITICAL,SAFE,True,False,71.72,32.45
44,2026-03-29 22:25:46.826,person-CRITICAL,CRITICAL,SAFE,True,False,65.96,29.16
45,2026-03-29 22:25:46.858,person-CRITICAL,CRITICAL,SAFE,True,False,73.45,32.95
46,2026-03-29 22:25:46.911,person-CRITICAL,CRITICAL,SAFE,True,False,90.04,19.16
47,2026-03-29 22:25:46.947,person-CRITICAL,CRITICAL,SAFE,True,False,70.21,29.18
48,2026-03-29 22:25:46.978,person-CRITICAL,CRITICAL,SAFE,True,False,67.81,33.4
49,2026-03-29 22:25:47.011,person-CRITICAL,CRITICAL,SAFE,True,False,59.6,31.14
50,2026-03-29 22:25:47.047,person-CRITICAL,CRITICAL,SAFE,True,False,59.31,28.87
51,2026-03-29 22:25:47.082,person-CRITICAL,CRITICAL,SAFE,True,False,63.62,29.99
52,2026-03-29 22:25:47.115,person-CRITICAL,CRITICAL,SAFE,True,False,55.49,31.0
53,2026-03-29 22:25:47.151,person-CRITICAL,CRITICAL,SAFE,True,False,58.01,28.7
54,2026-03-29 22:25:47.185,person-CRITICAL,CRITICAL,SAFE,True,False,55.42,30.45
55,2026-03-29 22:25:47.218,person-CRITICAL,CRITICAL,SAFE,True,False,59.16,31.03
56,2026-03-29 22:25:47.250,person-CRITICAL,CRITICAL,SAFE,True,False,65.6,32.69
57,2026-03-29 22:25:47.268,person-CRITICAL,CRITICAL,SAFE,True,False,54.63,57.2
58,2026-03-29 22:25:47.287,person-CRITICAL,CRITICAL,SAFE,True,False,59.24,57.57
59,2026-03-29 22:25:47.306,person-CRITICAL,CRITICAL,SAFE,True,False,52.4,54.96
60,2026-03-29 22:25:47.325,person-CRITICAL,CRITICAL,SAFE,True,False,49.47,54.25
